"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"120","Butte","Chico WPCP","Outfall To Surface Waters",71317,7.3,0.2,NA,7.5,18.4,"Sacramento-Lower Thomes","North American Datum of 1983",0.0798861627942667,c(-121.9292, 39.6818),83980,"18020103","180201580302","18020158"
"121","Riverside","Lake Elsinore Regional WWTP","Outfall To Surface Waters",71000,6.9,NA,NA,6.9,NA,"San Jacinto","North American Datum of 1983",0.0794460870122428,c(-117.3409, 33.6808),84389,"18070202","180702030601","18070203"
"122","Jefferson","KENNER STP 3","Outfall To Surface Waters",70517,13.55,NA,NA,13.55,NA,"East Central Louisiana Coastal","North American Datum of 1983",0.0787764681331265,c(-90.2659, 29.9738),32144,"08090301","080901000101","08090100"
"123","Hidalgo","McAllen WWTP #2","Outfall To Surface Waters",70000,7.09,0.4,NA,7.49,NA,"Lower Rio Grande","North American Datum of 1983",0.0780609313925078,c(-98.275, 26.1719),28636,"13090002","121102080100","12110208"
"124","Oakland","PONTIAC STP","Outfall To Surface Waters",68164,8,NA,NA,8,NA,"Clinton","North American Datum of 1927",0.0755301667032041,c(-83.1515, 42.382),44325,"04090003","040900040407","04090004"
"125","Cameron","North WWTP - Brownsville","Outfall To Surface Waters",68000,7.7,NA,NA,7.7,NA,"Lower Rio Grande","North American Datum of 1983",0.0753048956308032,c(-97.4538, 25.9542),30031,"13090002","121102080900","12110208"
"126","Dorchester","SUMMERVILLE LAGOON","Outfall To Surface Waters",68000,5.5,NA,NA,5.5,NA,"South Carolina Coastal","North American Datum of 1983",0.0753048956308032,c(-80.2132, 32.9757),41584,"03050202","030502010601","03050201"
"127","Shasta","Clear Creek WWTF","Outfall To Surface Waters",67975,7.93,NA,NA,7.93,NA,"Sacramento-Lower Cow-Lower Clear","North American Datum of 1983",0.0752705669725027,c(-122.3565, 40.4969),2031,"18020101","180201540305","18020154"
"128","Cameron","Plant #2 - Harlingen","Outfall To Surface Waters",67520,5.8,NA,NA,5.8,NA,"Central Laguna Madre","North American Datum of 1983",0.0746463156403632,c(-97.6405, 26.1829),29042,"12110207","121102080700","12110208"
"129","Niagara","North Tonawanda (C) WWTP","Outfall To Surface Waters",66524,3.756,NA,1.99,5.746,NA,"Niagara","North American Datum of 1983",0.0732833508842889,c(-78.8894, 43.0429),49711,"04120104","042701010806","04270101"
"130","Yolo","Davis WPCP","Outfall To Surface Waters",65890,5.55,NA,NA,5.55,NA,"Lower Sacramento","North American Datum of 1983",0.0724183038175839,c(-121.6671, 38.5907),84613,"18020109","180201630302","18020163"
"131","Fairfield","NORWALK WPCF","Outfall To Surface Waters",65435,6.67,1.4,1,9.07,NA,"Long Island Sound","North American Datum of 1983",0.0717987182943073,c(-73.4126, 41.1023),82756,"01100007","011000060202","01100006"
"132","Rock","JANESVILLE WWTP","Outfall To Surface Waters",62405,9,5.6,NA,14.6,NA,"Upper Rock","North American Datum of 1983",0.0676993033592436,c(-89.0648, 42.6373),73965,"07090001","070900021303","07090002"
"133","Hampden","Chicopee Water Pollution Control","Outfall To Surface Waters",61707,10.32,NA,NA,10.32,NA,"Lower Connecticut","North American Datum of 1983",0.0667616183862479,c(-72.6254, 42.1523),20720,"01080205","010802010702","01080201"
"134","Monroe","MONROE METRO WWTP","Outfall To Surface Waters",59002,13,0.4,NA,13.4,NA,"Lake Erie","North American Datum of 1983",0.0631519708237753,c(-83.3681, 41.9009),62831,"04120200","041000020410","04100002"
"135","Ouachita","MONROE WATER POLL CONTROL CENTER","Outfall To Surface Waters",59000,17,NA,NA,17,NA,"Lower Ouachita","North American Datum of 1983",0.0631493164010341,c(-92.1029, 32.4375),88226,"08040207","080500011307","08050001"
"136","Hamblen","MORRISTOWN WWTP","Outfall To Surface Waters",57529,1.5,2.5,2,6,NA,"Nolichucky","North American Datum of 1983",0.0612028747967088,c(-83.2891, 36.2487),94228,"06010108","060101040207","06010104"
"137","Volusia","ORMOND BEACH STP","Outfall To Surface Waters",57470,3.95,NA,NA,3.95,NA,"Upper St. Johns","North American Datum of 1983",0.0611250522876145,c(-81.0831, 29.2936),88731,"03080101","030802010205","03080201"
"138","San Joaquin","Lodi WPCF","Outfall To Surface Waters",57000,6.2,NA,NA,6.2,13.95,"Lower Cosumnes-Lower Mokelumne","North American Datum of 1983",0.0605057961999862,c(-121.3836, 38.0883),56731,"18040005","180400121104","18040012"
"139","Harris","Golden Acres WWTP","Outfall To Surface Waters",56000,5.5,NA,NA,5.5,NA,"Buffalo-San Jacinto","North American Datum of 1983",0.0591923132555317,c(-95.1358, 29.6808),94276,"12040104","120402040100","12040204"
"140","Sonoma","Petaluma WWTF","Outfall To Surface Waters",55694,4.46,0.53,NA,4.99,NA,"Russian","North American Datum of 1983",0.0587915064053909,c(-122.6226, 38.2334),57778,"18010110","180500020801","18050002"
"141","Niagara","Niagara Falls (C) WWTP","Outfall To Surface Waters",55593,33.458,NA,NA,33.458,NA,"Niagara","North American Datum of 1983",0.0586593297760253,c(-79.0428, 43.0814),51461,"04120104","042701010807","04270101"
"142","Burleigh","BISMARCK WWTP","Outfall To Surface Waters",55532,4.82,NA,NA,4.82,NA,"Painted Woods-Square Butte","North American Datum of 1983",0.0585795282305514,c(-100.7787, 46.7996),1484,"10130101","101301020201","10130102"
"143","Liberty","FORT STEWART WPCF","Outfall To Surface Waters",55424,4.88,NA,NA,4.88,NA,"Canoochee","North American Datum of 1983",0.0584382918503231,c(-81.5952, 31.8466),12719,"03060203","030602040401","03060204"
"144","San Joaquin","Manteca WQCF","Outfall To Surface Waters",54300,5.6,NA,NA,5.6,NA,"Middle San Joaquin-Lower Merced,Sta","North American Datum of 1983",0.0569723256314908,c(-121.2617, 37.7947),2039,"18040002","180400030204","18040003"
"145","Charleston","Mt. Pleasant/Rifle Range Road","Outfall To Surface Waters",54300,2.4,NA,NA,2.4,NA,"South Carolina Coastal","North American Datum of 1983",0.0569723256314908,c(-79.8326, 32.8115),44703,"03050202","030502090204","03050209"
"146","Fairfield","FAIRFIELD WPCF","Outfall To Surface Waters",54140,6.226,0.3,0.7,7.226,NA,"Long Island Sound","North American Datum of 1983",0.0567642352140384,c(-73.2514, 41.1301),82758,"01100007","011000060303","01100006"
"147","Clark","SALMON CREEK STP","Outfall To Surface Waters",54099,10.3,NA,NA,10.3,NA,"Lower Columbia-Sandy","North American Datum of 1983",0.0567109357790385,c(-122.727, 45.7295),53221,"17080001","170800030103","17080003"
"148","Passaic","Mountain View WPCF","Outfall To Surface Waters",54069,5.03,1.87,NA,6.9,NA,"Rondout","North American Datum of 1983",0.0566719423335866,c(-74.2508, 40.9103),45762,"02020007","020301030801","02030103"
"149","Hidalgo","Mission WWTP","Outfall To Surface Waters",54000,5.98,NA,NA,5.98,NA,"Lower Rio Grande","North American Datum of 1983",0.0565822771168425,c(-98.332, 26.194),28636,"13090002","121102080100","12110208"
"150","Nueces","Broadway WWTP","Outfall To Surface Waters",53500,4.8,0.5,NA,5.3,NA,"North Corpus Christi Bay","North American Datum of 1983",0.055933352281583,c(-97.4009, 27.8028),51784,"12110201","121102020107","12110202"
"151","Ashtabula","Ashtabula WWTP & Sewer System","Outfall To Surface Waters",53462,5,2,NA,7,NA,"Lake Erie","North American Datum of 1983",0.0558840933118816,c(-80.7862, 41.8992),71588,"04120200","041100030105","04110003"
"152","Rockland","Orangetown (T) SD#2 STP","Outfall To Surface Waters",52974,9.911,NA,NA,9.911,NA,"Hudson-Wappinger","North American Datum of 1983",0.0552522528401722,c(-73.94, 41.037),65429,"02020008","020301010404","02030101"
"153","Bell","Temple-Belton WWTP","Outfall To Surface Waters",52789,5.5,0.52,NA,6.02,NA,"Little","North American Datum of 1983",0.0550130873930832,c(-97.5436, 30.9841),95996,"12070204","120702030403","12070203"
"154","Orange","El Toro Water District WWTF","Ocean Discharge",51539,4.7,NA,0.5,5.2,13,"Newport Bay","North American Datum of 1983",0.0534024010561009,c(-117.6839, 33.4631),84748,"18070204","180703010104","18070301"
"155","Knox","Karns Beaver Creek STP","Outfall To Surface Waters",51000,3.8,NA,NA,3.8,10,"Watts Bar Lake","North American Datum of 1983",0.0527107478022035,c(-84.1445, 35.9664),15105,"06010201","060102070202","06010207"
"156","Adams","QUINCY, CITY OF","Outfall To Surface Waters",50695,4.5,2.5,NA,7,NA,"Bear-Wyaconda","North American Datum of 1983",0.0523201423777773,c(-91.4167, 39.9014),11960,"07110001","071100040301","07110004"
"157","Rapides","Alexandria WWTP","Outfall To Surface Waters",50688,20,NA,NA,20,NA,"Lower Red","North American Datum of 1983",0.0523111842692727,c(-92.42, 31.2803),28411,"08040301","080801020101","08080102"
"158","Essex","Gloucester City Engineer's Office","Ocean Discharge",50326,3.4,NA,NA,3.4,NA,"Piscataqua-Salmon Falls","North American Datum of 1983",0.0518483274965555,c(-70.6792, 42.6109),5247,"01060003","010900011002","01090001"
"159","Grand Forks","GRAND FORKS LAGOON","Outfall To Surface Waters",49425,6,1.5,NA,7.5,NA,"Lower Red","North American Datum of 1983",0.0506997759229496,c(-97.0307, 47.9226),61695,"09020311","090203010705","09020301"
"160","Pottawatomie","MANHATTAN WWTP","Outfall To Surface Waters",49259,3.78,1,NA,4.78,25,"Upper Kansas","North American Datum of 1983",0.0504887120442887,c(-96.539, 39.1858),64010,"10270101","102702050705","10270205"
"161","Yolo","WOODLAND WWTF","Outfall To Surface Waters",49151,7,NA,NA,7,NA,"Lower Sacramento","North American Datum of 1983",0.0503514849711289,c(-121.7147, 38.6628),84613,"18020109","180201630302","18020163"
"162","Riverside","VALLEY SD WWTF","Outfall To Surface Waters",49116,4.15,0.21,NA,4.36,NA,"Salton Sea","North American Datum of 1983",0.0503070287508696,c(-116.1969, 33.7153),59628,"18100200","181002010705","18100201"
"163","Fairfield","STRATFORD WPCF","Outfall To Surface Waters",48600,3.685,1.22,3.1,8.005,NA,"Long Island Sound","North American Datum of 1983",0.0496525014858305,c(-73.1262, 41.1779),82758,"01100007","011000060303","01100006"
"164","Wayne","HURON VALLEY WWTP-SOUTH","Outfall To Surface Waters",48178,14,NA,NA,14,NA,"Huron","North American Datum of 1983",0.0491184474029907,c(-83.208, 42.0594),44616,"04090005","041000130406","04100013"
"165","Wood","PARKERSBURG WWTP","Outfall To Surface Waters",48050,7.25,0.21,NA,7.46,NA,"Little Kanawha","North American Datum of 1983",0.0489566807715716,c(-81.5579, 39.281),80321,"05030203","050302020102","05030202"
"166","St. Lucie","FORT PIERCE WWTP","Outfall To Surface Waters",47882,9,NA,NA,9,NA,"Vero Beach","North American Datum of 1983",0.0487445190033246,c(-80.3156, 27.4575),979,"03080203","030902060504","03090206"
"167","Davis","CENTRAL DAVIS SD","Outfall To Surface Waters",47126,6.98,0.7,NA,7.68,NA,"Great Salt Lake","North American Datum of 1983",0.0477920078994615,c(-111.9441, 40.9984),82132,"16020310","160201020503","16020102"
"168","Orange","Los Alisos WRP","Ocean Discharge",46500,4.3,NA,NA,4.3,NA,"Newport Bay","North American Datum of 1983",0.0470060567724882,c(-117.6839, 33.4631),84748,"18070204","180703010104","18070301"
"169","Monmouth","South Monmouth REG STP","Outfall To Surface Waters",45945,6.148,0.35,0.7,7.198,20,"Sandy Hook-Staten Island","North American Datum of 1983",0.0463113665680722,c(-74.0445, 40.1675),21210,"02030104","020403010104","02040301"
"170","Blount","MARYVILLE REGIONAL STP","Outfall To Surface Waters",45623,8.495,NA,NA,8.495,40.82,"Upper Clinch. Tennessee","North American Datum of 1983",0.0459092417766158,c(-83.9495, 35.8523),94530,"06010205","060102010110","06010201"
"171","Bucks","WARMINSTER STP","Outfall To Surface Waters",45060,6,NA,NA,6,NA,"Crosswicks-Neshaminy","North American Datum of 1983",0.0452077852791889,c(-75.108, 40.2058),54540,"02040201","020402020303","02040202"
"172","Harris","Central District WWTP - Baytown","Outfall To Surface Waters",45000,4.2,NA,NA,4.2,NA,"North Galveston Bay","North American Datum of 1983",0.0451331531973762,c(-94.988, 29.7213),95773,"12040203","120401040706","12040104"
"173","San Juan","City of Farmington","Outfall To Surface Waters",45000,NA,NA,NA,3.06,NA,"Animas","North American Datum of 1983",0.0451331531973762,c(-108.2215, 36.7173),31532,"14080104","140801050505","14080105"
"174","Monmouth","Neptune Twp SA (TNSA) - CS/STP","Outfall To Surface Waters",44556,5.978,NA,NA,5.978,NA,"Sandy Hook-Staten Island","North American Datum of 1983",0.0445816195455899,c(-74.063, 40.2012),21210,"02030104","020403010104","02040301"
"175","Brazos","Burton Creek WWTP","Outfall To Surface Waters",44000,4.6,NA,NA,4.6,NA,"Lower Brazos-Little Brazos","North American Datum of 1983",0.0438928193932259,c(-96.3211, 30.6408),97343,"12070101","120701030702","12070103"
"176","Essex","Haverhill Sewer Collection System","Outfall To Surface Waters",43792,0.71,8,NA,8.71,NA,"Merrimack","North American Datum of 1983",0.0436356737961911,c(-71.0584, 42.7598),15671,"01070002","010700061402","01070006"
"177","Westmoreland","BRUSH CREEK STP","Outfall To Surface Waters",43261,2.39,NA,NA,2.39,NA,"Youghiogheny","North American Datum of 1983",0.0429805418561169,c(-79.733, 40.3533),20490,"05020006","050200050702","05020005"
"178","St. Mary's","Marley-Taylor WRF","Outfall To Surface Waters",43177,3.249,NA,NA,3.249,NA,"Lower Potomac","North American Datum of 1983",0.0428770812426307,c(-76.4147, 38.2643),23119,"02070011","020600040404","02060004"
"179","Thurston","LOTT STP","Outfall To Surface Waters",43108,17,0.9,NA,17.9,NA,"Puget Sound","North American Datum of 1927",0.0427921318651777,c(-122.5353, 47.033),10659,"17110019","171100150306","17110015"
"180","Dorchester","LOWER DORCHESTER WWTP","Outfall To Surface Waters",43000,4,NA,NA,4,NA,"South Carolina Coastal","North American Datum of 1983",0.042659233138285,c(-80.1286, 32.9078),41728,"03050202","030502010604","03050201"
"181","Blue Earth","MANKATO WWTP","Outfall To Surface Waters",42132,NA,NA,NA,7.076,NA,"Lower Minnesota","North American Datum of 1983",0.0415940426523311,c(-93.9998, 44.1826),61341,"07020012","070200071102","07020007"
"182","McLean","Bloomington-Normal Southeast (New)","Outfall To Surface Waters",42000,3.5,NA,NA,3.5,NA,"Upper Sangamon","North American Datum of 1983",0.0414325133805126,c(-88.9597, 40.4947),8913,"07130006","071300090701","07130009"
"183","Allegheny","MCKEESPORT CITY STP","Outfall To Surface Waters",41315,6,1,NA,7,NA,"Lower Monongahela","North American Datum of 1983",0.0405962368821967,c(-79.8717, 40.3531),19813,"05020005","050200061203","05020006"
"184","Saginaw","SAGINAW TWP STP","Outfall To Surface Waters",41031,4.29,NA,NA,4.29,NA,"Saginaw","North American Datum of 1983",0.0402504893967101,c(-84.0328, 43.4049),25155,"04080206","040802010607","04080201"
"185","Albany","Laramie WWTF","Outfall To Surface Waters",40682,4.3,NA,NA,4.3,NA,"Lower Laramie","North American Datum of 1983",0.0398263958062352,c(-105.6022, 41.3364),73351,"10180011","101800100603","10180010"
"186","Collin","Muddy Creek WWTP","Outfall To Surface Waters",40680,5.4,NA,NA,5.4,NA,"Cedar","North American Datum of 1983",0.0398239679787215,c(-96.5514, 32.9701),16528,"12030107","120301060403","12030106"
"187","Hudson","North Bergen MUA - Central STP","Outfall To Surface Waters",40404,6.93,0.75,NA,7.68,NA,"Lower Hudson","North American Datum of 1983",0.039489203003165,c(-74.0375, 40.7845),45768,"02030101","020301030906","02030103"
"188","Sebastian","Fort Smith - Massard Creek WWTP","Outfall To Surface Waters",40134,7.98,NA,NA,7.98,NA,"Robert S. Kerr Reservoir","North American Datum of 1983",0.0391622461363726,c(-94.3091, 35.3286),19604,"11110104","111102010504","11110201"
"189","Lawrence","NEW CASTLE STP","Outfall To Surface Waters",40102,5.52,0.5,NA,6.02,NA,"Shenango","North American Datum of 1983",0.03912353060304,c(-80.3893, 40.9667),45837,"05030102","050301030809","05030103"
"190","San Diego","LA SALINA WWTF","Ocean Discharge",40000,3.9,0.2,NA,4.1,4.6,"Santa Margarita","North American Datum of 1983",0.039000174340648,c(-117.371, 33.1802),85153,"18070302","180703030504","18070303"
"191","Chittenden","BURLINGTON MAIN STP","Outfall To Surface Waters",39824,4.1,0.67,NA,4.77,NA,"Winooski","North American Datum of 1983",0.038787501865376,c(-73.2191, 44.4727),45580,"02010003","043001081604","04300108"
"192","Butte","Sewerage Commis.-Oroville Reg. WWTP","Outfall To Surface Waters",39101,3.19,0.004,NA,3.194,8.9,"Lower Feather","North American Datum of 1983",0.0379162266973815,c(-121.5634, 39.4883),83993,"18020106","180201590202","18020159"
"193","Harris","Atascocita Central WWTP","Outfall To Surface Waters",38980,4.2,NA,NA,4.2,NA,"West Fork San Jacinto","North American Datum of 1983",0.0377707870302071,c(-95.2007, 29.9858),97123,"12040101","120401040602","12040104"
"194","Washington","Fayetteville - Noland - Illinois R.","Outfall To Surface Waters",38921,5.9,NA,NA,5.9,NA,"Illinois","North American Datum of 1983",0.0376999094344663,c(-94.0914, 36.0848),21927,"11110103","110100010701","11010001"
"195","Jefferson","Watertown (C) WWTP","Outfall To Surface Waters",38875,3.2,3,2.905,9.105,NA,"Black","North American Datum of 1983",0.0376446668209599,c(-75.9286, 43.9896),44042,"04150101","041403011404","04140301"
"196","Montgomery","ABINGTON TWP STP & CS","Outfall To Surface Waters",38838,2.784,NA,NA,2.784,NA,"Lower Delaware","North American Datum of 1983",0.0376002439269154,c(-75.1582, 40.1301),54565,"02040202","020402030902","02040203"
"197","Wayne","GOLDSBORO WWTP","Outfall To Surface Waters",38695,3.53,1.27,4.9,9.7,NA,"Upper Neuse","North American Datum of 1983",0.0374286509853834,c(-77.9958, 35.3361),93835,"03020201","030202020103","03020202"
"198","Isabella","MT PLEASANT WWTP","Outfall To Surface Waters",37464,3.552,0.16,NA,3.712,NA,"Tittabawassee","North American Datum of 1983",0.035957848535156,c(-84.7743, 43.6141),60100,"04080201","040802020501","04080202"
"199","Webb","LAREDO SOUTHSIDE STP","Outfall To Surface Waters",37160,6,NA,NA,6,NA,"International Falcon Reservoir","North American Datum of 1983",0.03559639634905,c(-99.4937, 27.4496),5503,"13080003","130800022806","13080002"
"200","Jackson","JCUA - WEST JACKSON COUNTY WWTP","Outfall To Surface Waters",36969,3.042,0.1,NA,3.142,NA,"Mississippi Coastal","North American Datum of 1983",0.035369662125016,c(-88.5678, 30.3658),63383,"03170009","031700060303","03170006"
